Campaign_ID,Channel,Product_Category,Region,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment,porcentaje_nulos
cam0001,0,0,0,484341.0,197038.0,545901.0,25595.8,0.0785,7993.0,0.3414,849005.0,0.64,212.0,3.0,3.0,0,5.263157894736842
cam0002,-1,1,1,468792.0,33743.0,527513.0,4130.0,0.9479,9459.0,0.41578,921078.0,3.78,29.0,3.0,7.0,0,21.052631578947366
cam0003,1,2,2,10487.0,6745.0,806911.0,12209.0,0.60484,7168.0,0.0517,51142.0,3.64,74.0,1.0,2.0,0,5.263157894736842
cam0004,2,2,2,345431.0,329112.0,108570.0,34391.0,0.6157,7190.0,0.3579,191887.0,2.64,67.0,5.0,6.0,1,0.0
cam0005,1,0,0,322345.0,34365.0,799855.0,13056.0,0.54836,1794.0,0.0544,167241.0,1.02,40.0,5.0,6.0,2,5.263157894736842
cam0007,1,3,1,151833.4,444126.0,81342.0,35053.0,0.0303,290.0,0.5596,753564.0,2.69,105.0,4.0,7.0,1,10.526315789473683
cam0008,0,4,-1,406954.0,64007.0,180250.0,17104.0,0.7427,8704.0,0.9349,987174.0,0.39,59.0,4.0,44.45747469,2,5.263157894736842
cam0010,1,3,-1,399568.0,297974.0,319054.0,36693.0,0.1588,3160.0,0.776,823506.0,2.32,272.0,3.6,9.0,0,10.526315789473683
cam0012,3,4,3,494293.0,345013.0,278502.0,29474.0,0.456,6381.0,0.1074,538807.0,0.71,21.0,3.4,8.0,0,10.526315789473683
cam0014,3,3,0,92250.0,238467.0,605504.0,37505.0,0.8509,8023.0,0.8544599999999999,689118.0,0.51,95.0,1.0,9.0,2,5.263157894736842
cam0015,1,3,1,398390.0,85313.0,625134.0,32096.2,0.3366,9024.0,0.4934,350492.0,4.11,265.0,3.0,4.0,2,5.263157894736842
cam0016,0,0,-1,416307.0,356056.0,307146.0,26029.0,0.422,2227.0,0.8695,484913.0,1.55,127.0,3.0,7.0,-1,15.789473684210526
cam0017,4,4,4,253173.0,164789.0,412423.0,21115.0,0.3619,1589.0,0.6878,135885.0,2.99,291.0,3.0,4.0,2,0.0
cam0018,3,2,4,95047.0,143469.0,143510.0,42776.0,0.7,6712.0,0.791,871680.0,4.68,14.0,4.0,6.0,2,0.0
cam0019,3,4,3,70988.0,356155.0,790871.0,27337.0,0.4197,2559.0,0.5721,645493.0,0.59,112.0,1.0,1.0,0,5.263157894736842
cam0020,0,1,3,374690.0,170782.0,346021.4,27871.0,0.8745,3166.0,0.9757,760602.0,2.15,220.0,4.0,6.0,1,5.263157894736842
cam0021,1,1,4,377108.0,145927.0,852248.0,47402.0,0.8955,1901.0,0.8278,956667.0,1.992461995,334.0,1.0,1.0,0,5.263157894736842
cam0022,-1,2,4,460110.0,118009.0,680407.2,4257.0,0.6323,1221.0,0.2114,682824.0,1.81,282.0,4.0,8.0,1,10.526315789473683
cam0023,1,3,3,152124.0,93699.0,117040.0,20883.0,0.3316,5928.0,0.277,201298.0,4.56,2.0,5.0,10.0,1,0.0
cam0024,4,0,2,252443.8,74977.0,793745.0,2938.0,0.5601,2991.0,0.0166,984784.0,3.2039999999999997,183.0,4.0,7.4,0,15.789473684210526
cam0025,0,3,1,247862.0,253933.0,860326.0,15059.0,0.3108,2024.0,0.1672,606125.6,0.16,51.0,2.0,1.0,0,15.789473684210526
cam0026,3,0,2,200311.0,260557.0,770139.0,17577.4,0.7611,3314.0,0.8951,914831.0,0.81,218.0,5.0,8.0,1,5.263157894736842
cam0027,3,4,0,71589.0,322417.0,149964.0,17150.4,0.2083,7424.0,0.5715,743462.0,4.76,301.0,4.0,7.0,0,5.263157894736842
cam0028,4,0,3,137118.0,445177.0,737571.0,42740.0,0.8548,4257.0,0.4509,32398.0,3.81,154.0,1.0,5.0,0,0.0
